Picture,Common Name,Scientific Name,Family,Last Seen,Random Comments
![](birdspics/gray_heron_1907.jpg),Gray Heron 苍鹭,*ardea cinerea*,"Herons, Ibis, and allies","July '19, Kyoto Japan",NA
![](birdspics/great_blue_heron_2403.JPG),Great Blue Heron 大蓝鹭,*ardea herodias*,"Herons, Ibis, and allies","Apr '25, Cambridge MD",kinda everywhere
![](birdspics/eurasian_moorhen_2302.jpg),Eurasian Moorhen 黑水鸡,*gallinula chloropus*,"Rails, Gallinules, and allies","Nov '21, Suzhou Jiangsu",symbol of DKU community!
![](birdspics/eurasian_coot_2301.jpeg),Eurasian Coot 骨顶鸡,*fulica atra*,"Rails, Gallinules, and allies","Jan '23, Suzhou Jiangsu",NA
NA,American Coot 美洲骨顶,*fulica americana*,"Rails, Gallinules, and allies","Apr '25, West Lafayette IN",NA
![](birdspics/rock_pigeon_2309.JPG),Rock Pigeon 岩鸽 ![](pixelart/rockpigeon_s.png),*columbia livia*,Pigeons and Doves,"Oct '24, Baltimore MD",NYC pigeons are horribly fat
![](birdspics/spotted_dove_2011.jpeg),Spotted Dove 珠颈斑鸠 ![](pixelart/spotteddove_s.png),*spilopelia chinensis*,Pigeons and Doves,"Nov '20, Suzhou Jiangsu",dubbed 'the most delicious friend of hawks'
![](birdspics/oriental_turtle_dove_2302.JPG),Oriental Turtle-Dove 山斑鸠 ![](pixelart/orientalturtledove_s.png),*streptopelia orientalis*,Pigeons and Doves,"Feb '23, Suzhou Jiangsu",bronze feathers compared to spotted dove
![](birdspics/mourning_dove_2503.JPG),Mourning Dove 哀鸽 ![](pixelart/mourningdove_s.png),*zenaida macroura*,Pigeons and Doves,"Mar '25, Baltimore MD",NA
![](birdspics/turkey_vulture_2403.JPG),Turkey Vulture 红头美洲鹫,*cathartes aura*,"Vultures, Hawks, and Allies","Jan '25, Cambridge MD",if you go on a road trip they are always there
![](birdspics/osprey_2504.JPG),Osprey 鱼鹰,*pandion haliaetus*,"Vultures, Hawks, and Allies","Apr '25, Cambridge MD",somehow chasing a seagull
![](birdspics/bald_eagle_2504.JPG),Bald Eagle 白头海雕,*haliaeetus leucocephalus*,"Vultures, Hawks, and Allies","Jan '25, Cambridge MD",can be differentiated from turkey vulture while flying by their white tails
![](birdspics/red_tailed_hawk_2201.jpg),Red-tailed Hawk 红尾𫛭,*buteo jamaicensis*,"Vultures, Hawks, and Allies","Jan '22, Durham NC",NA
![](birdspics/tree_swallow_2504.JPG),Tree Swallow 双色树燕,*tachycineta bicolor*,Martins and Swallows,"Apr '25, Cambridge MD","small, bright blue under sunlight, white belly"
![](birdspics/northern_rough_winged_swallow_2503.JPG),Northern Rough-winged Swallow 中北美毛翅燕,*stelgidopteryx serripennis*,Martins and Swallows,"Apr '25, Baltimore MD","small, fly very fast, chasing insects near water"
![](birdspics/eurasian_crag_martin_2306.jpg),Eurasian Crag-Martin 岩燕,*ptyonoprogne rupestris*,Martins and Swallows,"June '23, Datong Shanxi",NA
NA,Common Kingfisher 普通翠鸟,*alcedo atthis*,Kingfisher,"Dec '21, Suzhou Jiangsu",NA
NA,Eurasian Hoopoe 戴胜,*upupa epops*,Hoopoes,"Apr '23, Suzhou Jiangsu",NA
![](birdspics/yellow_bellied_sapsucker_2503.JPG),Yellow-bellied Sapsucker 黄腹吸汁啄木鸟,*sphyrapicus varius*,Woodpeckers,"Mar '25, Baltimore MD",dead due to bird strike
![](birdspics/downy_woodpecker_2501.JPG),Downy Woodpecker 绒啄木鸟,*dryobates pubescens*,Woodpeckers,"Jan '25, Cambridge MD",very small
NA,Blue Jay 冠蓝鸦,*cyanocitta cristata*,"Jays, Magpies, Crows, Ravens","Apr '25, Cambridge MD","tried to attract it using Audubon blue jay toy, ended up making it sang back\nnot seen)"
![](birdspics/american_crow_2502.jpeg),American Crow 短嘴鸦 ![](pixelart/americancrow_s.png),*corvus brachyrhynchos*,"Jays, Magpies, Crows, Ravens","Jan '25, Baltimore MD","sits on trees of Baltimore in flock in evenings, esp. from Nov to Feb"
NA,Fish Crow 鱼鸦,*corvus ossifragus*,"Jays, Magpies, Crows, Ravens","Apr '25, Baltimore MD",song is different from american crow
![](birdspics/large_billed_crow_2303.JPG),Large-billed Crow 大嘴乌鸦,*corvus macrohynchos*,"Jays, Magpies, Crows, Ravens","Mar '23, Lijiang Yunnan",NA
NA,Common Raven 渡鸦,*corvus corax*,"Jays, Magpies, Crows, Ravens","Nov '24, Baltimore MD","'quoth the raven, nevermore' - quoth someone who died in Baltimore."
![](birdspics/red_billed_blue_magpie_2303.JPG),Red-billed Blue-Magpie 红嘴蓝鹊,*urocissa erythroryncha*,"Jays, Magpies, Crows, Ravens","Mar '23, Lijiang Yunnan",NA
![](birdspics/azure_winged_magpie_2302.jpg),Azure-winged Magpie 灰喜鹊,*cyanopica cyanus*,"Jays, Magpies, Crows, Ravens","Feb '23, Suzhou Jiangsu",NA
![](birdspics/long_tailed_shrike_2302.jpg),Long-tailed Shrike 棕背伯劳,*lanius schach*,Shrikes,"Feb '23, Suzhou Jiangsu",'butcher bird' - in me the tiger sniffs the plum blossoms
![](birdspics/gray_catbird_2406.JPG),Gray Catbird 灰猫嘲鸫,*dumetella carolinensis*,"Catbirds, Mockingbirds, and Thrashers","June '24, Philadelphia PA",NA
![](birdspics/northern_mockingbird_2501.JPG),Northern Mockingbird 北嘲鸫,*mimus polyglottos*,"Catbirds, Mockingbirds, and Thrashers","Apr '25, Cambridge MD",NA
![](birdspics/american_robin_2503.jpg),American Robin 旅鸫,*turdus migratorius*,Thrushes,"Mar '24, Baltimore MD",NA
![](birdspics/eastern_bluebird_2203.jpg),Eastern Bluebird 东蓝鸲,*sialia sialis*,Thrushes,"Mar '22, Durham NC",NA
![](birdspics/hermit_thrush_2501.JPG),Hermit Thrush 隐夜鸫,*catharus guttatus*,Thrushes,"Jan '25, Cambridge MD",NA
![](birdspics/white_browed_laughingthrush_2007.JPG),White-browed Laughingthrush 白颊噪鹛,*pterohinus sannio*,Laughingthrushes and allies,"July '20, Chengdu Sichuan",NA
![](birdspics/carolina_chickadee_2203.jpg),Carolina Chickadee 卡罗莱纳山雀,*poecile carolinensis*,"Tits, Chickadees, and Titmice","Mar '22, Durham NC",NA
![](birdspics/tufted_titmouse_2504.JPG),Tufted Titmouse 美洲凤头山雀,*baeolophus bicolor*,"Tits, Chickadees, and Titmice","Apr '25, Cambridge MD",small round fluffy ball
![](birdspics/white_breasted_nuthatch_2203.jpg),White-breasted Nuthatch 白胸䴓,*sitta carolinensis*,Nuthatches,"Mar '22, Durham NC",NA
![](birdspics/carolina_wren_2501.JPG),Carolina Wren 卡罗苇鹪鹩,thryothorus ludovicianus,Wrens,"Jan '25, Cambridge MD",NA
![](birdspics/ruby_crowned_kinglet_2203.jpg),Ruby-crowned Kinglet 红冠戴菊,*corthylio calendula*,Kinglets,"Mar '22, Durham NC",NA
![](birdspics/white_wagtail_2303.JPG),White Wagtail 白鹡鸰,*motacilla alba*,Wagtails and Pipits,"Mar '23, Lijiang Yunnan",tail points up and down endlessly
![](birdspics/chipping_sparrow_2504.JPG),Chipping Sparrow 褐斑翅雀鵐,*spizella passerina*,New World Sparrows,"Apr '25, Cambridge MD",NA
![](birdspics/white_throated_sparrow_2410.JPG),White-throated Sparrow 白喉带鹀,*zonotrichia albicollis*,New World Sparrows,"Oct '24, Baltimore MD","found dead around MICA, bird strike"
NA,Song Sparrow 歌帶鵐,*melospiza melodia*,New World Sparrows,"Mar '25, Baltimore MD",NA
![](birdspics/house_sparrow_2503.JPG),House Sparrow 家麻雀,*passer domesticus*,Old World Sparrows,"May '24, Boston MA",white neckline
![](birdspics/eurasian_tree_sparrow_1911.jpg),Eurasian Tree Sparrow 麻雀,*passer montanus*,Old World Sparrows,"Nov '19, Suzhou Jiangsu",black cheek
![](birdspics/house_finch_2203.jpg),House Finch 家朱雀,*haemorhous mexicanus*,"Finches, Euphonias, and allies","Mar '22, Durham NC",NA
![](birdspics/american_goldfinch_2504.jpeg),American Goldfinch 北美金翅雀,*spinus tristis*,"Finches, Euphonias, and allies","Apr '25, Baltimore MD",NA
![](birdspics/northern_cardinal_2203.jpg),Northern Cardinal 主红雀,*cardinalis cardinalis*,"Cardinals, Grosbeaks, and allies","Apr '25, Cambridge MD",cutest and most iconic bird in the u.s.a.
![](birdspics/red_winged_blackbird_2504.JPG),Red-winged Blackbird 红翅黑鹂,*agelaius phoeniceus*,Blackbirds,"Apr '25, Cambridge MD",have a very loud song
![](birdspics/common_grackle_2405.jpeg),Common Grackle 普通拟八哥,*quiscalus quiscula*,Blackbirds,"May '24, Boston MA",NA
![](birdspics/european_starling_2501.JPG),European Starling 紫翅椋鸟,*sturnus vulgaris*,Starlings and Mynas,"Apr '25, Cambridge MD",NA
